"state1","statename1","mi_to_state","state2","statename2"
"05","Arkansas",461.945807410582,"48","Texas"
"05","Arkansas",483.542286564165,"18","Indiana"
"05","Arkansas",498.93228665613,"19","Iowa"
"05","Arkansas",541.100028248976,"13","Georgia"
"05","Arkansas",608.570101795125,"31","Nebraska"
"05","Arkansas",654.217847939532,"39","Ohio"
"05","Arkansas",664.261567208607,"45","South Carolina"
"05","Arkansas",687.85219681503,"55","Wisconsin"
"05","Arkansas",703.319074136306,"54","West Virginia"
"05","Arkansas",738.272537853085,"12","Florida"
"05","Arkansas",752.265847946523,"37","North Carolina"
"05","Arkansas",774.022212732141,"08","Colorado"
"05","Arkansas",774.991396521269,"26","Michigan"
"05","Arkansas",777.51610649648,"35","New Mexico"
"05","Arkansas",778.441968514113,"46","South Dakota"
"05","Arkansas",788.376382360195,"51","Virginia"
"05","Arkansas",794.382057194391,"27","Minnesota"
"05","Arkansas",894.952603832106,"11","District of Columbia"
"05","Arkansas",896.921573696469,"42","Pennsylvania"
"05","Arkansas",913.554702816512,"24","Maryland"
"05","Arkansas",961.607129223964,"38","North Dakota"
"05","Arkansas",978.662688164855,"10","Delaware"
"05","Arkansas",983.048746857414,"56","Wyoming"
"05","Arkansas",1036.72621990457,"34","New Jersey"
"05","Arkansas",1058.89156244043,"36","New York"
"05","Arkansas",1089.55302900914,"04","Arizona"
"05","Arkansas",1099.6107508583,"49","Utah"
"05","Arkansas",1161.03146133801,"09","Connecticut"
"05","Arkansas",1221.98648961538,"44","Rhode Island"
"05","Arkansas",1223.55218602809,"30","Montana"
"05","Arkansas",1225.19585718774,"50","Vermont"
"05","Arkansas",1234.54686433373,"25","Massachusetts"
"05","Arkansas",1264.79457050084,"33","New Hampshire"
"05","Arkansas",1340.32478284812,"16","Idaho"
"05","Arkansas",1362.1311190301,"32","Nevada"
"05","Arkansas",1442.55075096097,"23","Maine"
"05","Arkansas",1516.98849056976,"06","California"
"05","Arkansas",1619.09634158565,"41","Oregon"
"05","Arkansas",1687.18663633482,"53","Washington"
"05","Arkansas",1968.6081218941,"72","Puerto Rico"
"05","Arkansas",3187.01780100832,"02","Alaska"
"05","Arkansas",3943.85472109831,"15","Hawaii"
"06","California",218.938314780251,"32","Nevada"
"06","California",453.544974315399,"49","Utah"
"06","California",474.816270265201,"41","Oregon"
"06","California",489.387636511378,"04","Arizona"
"06","California",557.710088670597,"16","Idaho"
"06","California",711.469546554496,"53","Washington"
"06","California",750.857354366699,"56","Wyoming"
"06","California",773.058178611048,"08","Colorado"
"06","California",774.005954739362,"35","New Mexico"
"06","California",850.598629753089,"30","Montana"
"06","California",1094.21813486903,"31","Nebraska"
"06","California",1124.7253475774,"46","South Dakota"
"06","California",1155.90574033427,"20","Kansas"
"06","California",1202.02506647547,"38","North Dakota"
"06","California",1219.06191300876,"48","Texas"
"06","California",1228.90520003923,"40","Oklahoma"
"06","California",1421.55438767997,"19","Iowa"
"06","California",1443.5132683545,"27","Minnesota"
"06","California",1476.66669681525,"29","Missouri"
"06","California",1516.98849056976,"05","Arkansas"
"06","California",1630.84605682006,"55","Wisconsin"
"06","California",1640.56297003545,"22","Louisiana"
"06","California",1644.87106474249,"17","Illinois"
"06","California",1713.60793094977,"28","Mississippi"
"06","California",1797.26537311516,"18","Indiana"
"06","California",1830.12117336666,"26","Michigan"
"06","California",1836.14991644513,"47","Tennessee"
"06","California",1867.320563199,"01","Alabama"
"06","California",1870.94361981077,"21","Kentucky"
"06","California",1982.00563962886,"39","Ohio"
"06","California",2058.07654747794,"13","Georgia"
"06","California",2108.68103415461,"54","West Virginia"
"06","California",2172.50556465069,"45","South Carolina"
"06","California",2222.97782851557,"12","Florida"
"06","California",2227.46313801764,"51","Virginia"
"06","California",2232.68104772598,"42","Pennsylvania"
"06","California",2234.61125791935,"37","North Carolina"
"06","California",2280.7424593282,"02","Alaska"
"06","California",2296.55459890198,"11","District of Columbia"
"06","California",2314.10915569457,"24","Maryland"
"06","California",2331.70411522089,"36","New York"
"06","California",2378.22195419972,"10","Delaware"
"06","California",2405.16458954968,"34","New Jersey"
"06","California",2469.86977996648,"15","Hawaii"
"06","California",2470.20620456065,"50","Vermont"
"06","California",2487.66180863429,"09","Connecticut"
"06","California",2527.12614439075,"33","New Hampshire"
